C0021270,baby
C0680337,cognitive culture
C0586741,unable read
C1633987,flock
C4330815,need help from another person
C0142028,serial c
C0449903,tissue used
C1838908,onset before age 20
C0021079,immune suppression
C0586954,skin tag removal
C0150904,patient male
C2350569,handling patient
C0269011,long penis
C0449496,type headgear
C1825233,gumby
C0266471,daft lambs
C1456561,homeless health concerns
C0402551,receiving shop assistant
C0422945,general reaction light
C0563718,difficulty controlling emotions
C0436317,symptom has changed
C2938048,gentle skin cleanser
C0442052,part structure
C0025256,artificial membranes
C0563781,unable fill bath
C0586097,referral obstetrician
C0401966,career officer
C0746417,ultrasound mass
C0332314,has assessment
C0969210,putterine
C2174114,acting fussy symptom
C0315320,salmonella jericho
C0206161,reti
C0558104,wears clothes all one color
C0014704,ergobasin
C2713451,caries check
C0444208,high vaginal swab
C1047426,trumpetweed
C3280743,pediatric sle
C1853246,drooping lower lip
C1268648,change since last mammogram
C0031549,sand fly
C1565167,was protein family
C0578038,decreased volume lip
C5195093,iq between 40 45
C1552643,log normal
C0438857,cardiac bed
C0527430,13 16 da
C0564255,speaks at normal rate
C5232669,difficulty with fine motor skills
C3639494,mmse what day week
C0585066,mother currently breast feeding
C0324996,wild dog
C0041113,triterpenes
C4086588,mrd response
C0062273,hb constant spring
C0561082,fishing hook hand
C4319568,forty four
C0742229,inflammation cervix pregnancy
C1449681,home blood pressure monitoring
C0450233,government building
C0033860,psoriasis
C2825972,cant
C0441292,balloon expanded stent
C3829798,have had cold sores
C5204629,identified at death
C0000939,accounts payable
C2451777,change cast face
C1555606,ahe
C1546855,not arranged
C1425570,spart
C1273863,otc sale situation
C0457942,adrenal vein sampling catheter procedure
C1273421,viral studies
C0075785,tallow
C3178894,calling methods genotype
C4505201,aaa modules
C4019308,radiation dose
C2707304,other health conditions
C0812190,community development health
C1939571,ambassis
C4727625,arm or hand swollen
C0587712,general nurse
C4691335,pg 16 0 18 1
C0457436,left hemiparesis
C1707698,cooling system
C0150134,anticipatory guidance
C0520757,awakening post anesthesia delayed
C4478300,heavy menstrual flow
C0030700,patient readmission
C3266209,at risk readmission hospital finding
C0303214,iron ore
C0851103,ige testing
C4075648,navigation system
C0312174,agavain
C0067113,nnn
C0687721,ground sports
C0557878,hot sweat
C1185741,fascicles
C2984109,very often
C0556452,gets little exercise
C0162735,mutations point
C1286321,pain pattern
C0349398,paranoid delusion
C0686995,moving new residence
C0699179,roferona
C1744587,balance difficulties
C1450816,reversine
C0560454,does not jump
C3828004,slice number
C1570689,abp 21 30
C0034963,regeneration
C5200824,dental night guard
C0425234,no indoor toilet
C0234671,direct light reflex
C0855657,wound culture
C1291777,protein antigen
C0028801,employee health services
C0871009,opinion questionnaire
C2706094,interview attempted
C3242655,dependent children
C0037051,illness behavior
C0325090,wild cat
C0041350,tuftsin
C0524814,part tooth
C0419170,learned heart rate control
C1840253,ige level
C0062037,h 450
C0018975,blindness day
C0231402,moderate anxiety
C0562976,temporary dental bridge
C4526014,bebq concurrent version
C2603370,age at cancer dx
C4558930,crinipes
C1862763,small airways
C1689849,fertility education
C0166059,pump 1
C0325345,kiwis
C1517328,funding mechanism
C0453509,bread pudding
C0426776,anal discharge
C2826729,physical exam result
C1273966,discussed with practice nurse
C3812282,vtarry
C1013845,discaria
C1416037,v3 23
C3825092,metabolism pregnancy
C1512334,hand plate
C3641816,cough when drinking liquids
C0425847,size vagina
C0740842,aids related illness
C0453143,sweetcorn kernels
C0419274,glasses provision
C0566569,finding speed drinking
C1286343,speed drinking
C1285572,phenotype determination
C0324074,luing cow
C0679882,drug rationing
C0016700,fracturing freeze
C0402844,glass finisher
C0403772,erection lasts too long
C4085668,motor behavior
C0076994,triad
C0026836,muscle relaxation
C0549395,bun decreased
C3671923,uterus fluid filled
C0679333,infection inflammation
C0017287,gene rearrangement
C0588438,work assessment
C0454388,arm exercises water
C0948365,caffeine consumption
C1456621,alcohol youth
C0949879,nup protein
C3880395,air heating cooling pad reusable
C0678252,responsible drinking
C0079291,environmental hazard
C0408736,correction scoliosis
C4302923,laboratory order
C1288288,lending action
C0929209,right major fissure
C0260212,restaurateurs
C1420418,sry
C0562305,footpath
C0813967,sweet alcoholic beverage
C0227245,ruminal contents
C0007012,carbon dioxide
C0685787,cleft face
C0815251,metropolitan area
C1550179,modified subscription
C3242265,requested state
C0671040,roundabout protein
C0810489,brain stimulator
C0586850,intensive care specialist
C2684044,aug gel
C0557390,productivity at work
C1701039,beautifil fl bond
C3880436,infant nursing cushion
C0679989,group relatives
C2348344,drug end
C3831240,burt county
C0401772,managing director
C4224649,centrum specialist prenatal kit
C0343073,woolly hair
C4330737,grl positive
C1319166,severity symptoms
C0564477,unstable self image
C0858355,cocaine addict
C0301473,jalap
C1428871,spic
C2939181,traffic accident public highway
C0331094,golden trumpet
C1277193,maintenance stage
C0413270,pain only bends
C0033798,pseudoephedrine
C4511975,history postpartum psychosis
C0446185,yeast like alga
C0424916,fh mother alive with problem
C0580718,foster care procedures
C0337506,foster sibling
C0591742,losec
C3174347,i was happy
C0027621,neonatology
C4244867,developmental tissue component
C0680708,documentary evidence
C0422966,interference with vision
C0678275,dry drunk
C1857202,frequent vomiting
C1998852,screening abuse
C0684295,chemical extraction
C0683724,alcohol policy issues
C0492751,accessories catheter
C0552479,alcohol history
C3826427,dyes dyeing
C3887614,volume percentage
C0678316,measure alcohol volume
C0680098,change living condition
C0124350,k 105
C4011985,no oral cleft
C3532503,sexually active with men
C0854348,alice wonderland syndrome
C1549035,day week begins with monday
C3714583,model style design
C0475177,severely abnormal behavior
C0444498,situ
C5197727,glasses smart
C0233655,non sequiturs
C4684199,drri1 emotionally mistreated
C0021206,indiana
C0681636,accident factor
C0404831,multigravida
C2962550,viibryd
C0678412,schnapps
C4505438,space travels
C3900143,audit injured because drinking
C5197815,diet drink
C1297899,care planning session
C0557699,door opening inwards
C0027143,mythology
C1002199,alle
C2936496,blood safety
C0582104,fit post stated
C3872723,labelling machine
C1171209,parental feeding
C0224499,simple joint
C0031094,periodontal pocketing
C5200847,shuttles space
C0260803,alcoholic family
C2826976,questionnaire time point
C2334169,left putamen
C2664793,panna
C0558193,stiff limb
C1697860,transcriber
C0062524,anti hav
C3714297,pudding thick liquid
C1190744,alfredia
C1540160,uhmk1
C0585186,allergies skin
C4512522,entire soft tissues
C0424851,no breast lump situation
C3687483,cattle human food
C1270908,food specific ige
C1043907,rainbow mabuya
C0449942,sealer
C0071889,preparation k
C0576319,small bone foot
C0570605,lactulose allergy
C4085372,product issues
C4505271,nut peanut allergies
C0940998,diagnosis esophagus
C3494641,maternal postnatal depression care
C1257973,image compression
C0199751,puncture test
C1289989,meningitis test kit
C0740299,blood cultures positive
C1260951,chives
C0324458,cocker spaniel
C1270239,milk rast
C0574347,snd
C4012269,notched lip
C1037284,pleea
C1553168,milk ring test
C0453825,food temperature
C0030824,penicillin allergy
C0437485,o e smell tested
C1148582,sugar binding
C0017672,sore tongue
C0002312,thalassemia
C0015394,eye bank
C0242657,gays
C1414199,dishevelled 1
C0683750,wholesale trade
C0225409,nose tip
C0969625,methodology
C0230028,oral part face
C1519516,tissue specific gene expression
C0442641,storage garage
C2316195,family history back pain
C0576848,red pinna
C0189583,incision artery
C0476239,elderly feeding problem
C0027965,new england
C0946021,dentition knowledge
C3825139,shame children
C1835802,thick eyelashes
C0150392,tube care
C2348909,her 2 positive
C0003868,joints gout affected
C2046389,history marital problems
C0729837,referral pediatric cardiologist
C1550383,source comment
C0456972,1 100
C0020507,hyperplasia
C3872100,aftera
C3842553,much difficulty
C4331770,worry about possible future treatments
C0456665,lip reading test
C2931653,petty syndrome
C3244233,disease specific policy
C0933455,zone artery
C1707696,backpanel
C0412550,us scan testes
C1959736,bone nasal bone
C1269740,manage mobility therapy
C0344340,fostering child life event
C0156456,miscarriage with complication
C0584958,difficulty analysing information
C0335253,clerks nec
C4749150,purga
C0085292,persons stiff syndrome
C0242930,test wilcox
C0425204,nursing or other home
C0240434,nail deformation
C1970823,tall thin habitus
C0232464,gargling function
C0545949,vagina cervix
C4746942,elevated growth hormone
C1275953,pdr high risk with csme
C0851878,dissociative state
C0424783,irregular fever
C0994179,supplies home delivery infant
C2810682,great hanging parrot
C4761597,dong
C0418407,blow with elbow
C1279751,showing client respect
C0333229,fluid accumulation
C0554619,labor fetal anoxia
C1513735,multicystic lesion
C3887499,kidney cyst
C0203202,full length myelogram
C3266636,red green tinged lochia
C1087777,sortosa
C0221783,mass vagina
C3228682,factive oral product
C1061050,great black headed gull
C0227793,upper vagina
C0566505,able take deep breaths
C3537131,chelation
C0229868,left tonsil
C0080179,fracture spine
C0086034,community healthcare
C5197711,health insurance community
C1883720,removing action
C0567200,cervix very posterior
C0242747,mars
C0012381,dimenhydrinate
C0057683,appa
C0630988,k 13 004
C0332001,coopers
C3641261,not measured
C1195816,lovely fairywren
C3539889,pelvic pain increasing severity
C3549703,retinal thinning
C0069896,caged atp
C0600083,discharge fluid
C0869813,procedure appendix
C4039184,high risk hemorrhage
C4745289,rem duration
C4081851,appointment not requested situation
C0443341,unrecordable
C3272929,fat measurement
C0740363,back pain with radiation
C1293323,nose closure
C0200040,procedure cervix
C0439142,lower case are
C0240685,pelvis wide
C0235222,dia hypertension
C0940894,ligation number
C0238436,fractured sternum
C1318462,test aso
C3881296,ovulation cycle calculator
C0949354,zone therapy
C3272375,int
C5195238,delayed sitting walking
C0268281,incl
C1879904,burn from lead
C0177276,manually assisted delivery
C0277493,infection due chordate
C0286267,d 175
C0007603,plasma membrane
C1305379,entire amniotic sac
C1095095,corades
C0429351,emg decelerating bursts
C2825496,birth method delivery
C0429830,erection frequency
C0917813,spina bifida open
C0700271,protein m
C0917927,breast conserving surgery
C2735350,labor delivery process
C0003226,antibiotic level determination
C0330232,piper
C0052627,anf 3 28
C0566659,urge push labor
C2271588,hydranthea
C1265608,density decreased
C2708665,exercise duration
C0302592,cervix cancer
C0586970,anesthetic nurse
C5194866,increased infections
C0302620,oral syringe
C3825911,nurse physician
C0566133,communicates different occasions
C0917796,lhon
C2752742,prostate induction
C0412774,induction sedation
C0224220,procerus muscle
C0022873,third stage labor
C4086034,bothered by arm swelling
C1187348,acrida
C4479438,loose joints patient
C0558088,sexually abusive behavior
C3872448,massage table couch
C0745754,granuloma liver
C0444364,perch sitting
C1813909,4 way
C0452599,battenburg cake
C0867834,heat drying room
C2825781,email attachment
C0175854,biochemist
C0949955,evening primrose family
C0524348,sick relative
C3853077,smoked food
C0023120,vetchling
C0560888,able bend
C4743604,no higher limit
C2681417,wus
C0474432,offensive body odor
C0138304,preminent
C0239242,peak t waves
C0422961,misjudges distances
C0023640,licensure medical
C4693576,blindness family
C1510802,adherence
C0558921,rectal symptoms
C4024508,absent little finger
C1845613,death within first year life
C1154711,response ether
C1549704,health card number
C4687959,1 5
C0017258,gene clusters
C0263843,snap hip
C0557367,semi retired
C0554246,metal making treating
C0262730,staff supervision
C4021646,excessive bleeding during surgery
C1416512,e3 16
C0020223,hydralazine
C0474594,odour stool
C0020184,communication husband wife
C4540318,tufts hair around ankles
C1514809,r s like cell
C0016823,fundus
C2451816,change bandage back
C0333044,retrocession
C1553116,test strip
C0455537,history pulmonary embolus
C0741103,allergies antibiotics
C0243063,fetal research
C0491113,tubing fluid delivery
C0772494,sterile field
C0718564,anti diarrhea
C2828256,casi
C1702216,relt like 1 protein human
C0329371,crevice kelpfish
C1554597,registered school nurse
C0481459,mother with twins both liveborn
C3669287,human hair
C3536737,absent heart beat finding
C0298466,ahx 5 17 npy
C0423945,memory own age
C0442125,mid location
C2451818,change pressure dressing back
C0405137,physiological delivery placenta
C3722361,wirewood
C0680179,transitional housing
C0270529,erotic vomiting
C0010101,correlation study
C4743789,neonatal adverse event
C1301740,labor analgesia
C2930841,pseudosciatica
C0441144,medical balloon
C3494477,cream skin
C0191840,breast incision
C0008035,chest wall pain
C0184186,epidural needles
C0870527,exposure therapy
C0272423,ear injuries
C1005025,white water lily
C0020748,hockey ice
C4022592,oral motor hypotonia
C0589162,oral motor regime
C1273012,vaginal capsule hard
C0679083,simulations
C0584937,ability hold drinks
C4524793,premature separation
C1272585,significance undetermined
C0687023,shoulder muscle
C4251501,forearm proper
C0425589,heart irregularly irregular
C0969660,laying hands
C5206391,date end participation
C4022832,mild proteinuria
C3533189,delivery location
C2936595,tracking cell
C3754883,ambia
C0075191,statine
C4273508,group session rating scale
C4289925,bicycling 1 mile nonstop
C0683992,hard core addict
C0031808,physical stamina
C0747280,par defect
C0266370,ectopic ovary
C0455628,h o insulin therapy
C1281636,entire thyroid vein
C1180156,surface tissue
C1154359,post mating behavior
C1283255,restore action
C0434180,vaginal wall tear
C1509151,stimulated labour
C2919926,born before arrival midwife
C0420391,referred gu physician
C2347494,ph negative bcr positive
C1552047,fourth way
C0333730,contraction bands
C0068808,acid nitric
C0558983,bladder control child
C0541764,delayed bone age finding
C0427084,lack control movement
C1151515,catalase activity
C2985903,version number text
C4684642,direct entry
C1527218,chemical induced change
C2714271,super bonder instant adhesive
C4476667,triggered by monthly period
C1276348,child protection procedure
C3897811,public health department facility
C0588075,disease lymes test
C0051447,antu rat poison
C0578538,color feces
C4024929,slowed slurred speech
C1710251,supersack
C0224525,joint head
C2004859,burn back right hand
C3271653,oxytocin secretion
C0438865,lower limb iron
C4050627,pselects
C0424801,smells unwashed
C1457883,aggressive reaction
C1150943,ah
C1272563,foreign body head
C1970467,soft skull
C0434178,injury cervix
C0583337,under care counsellor
C0330722,senna
C0557874,retarded development
C0275722,stable foot rot
C0183837,surgical tape
C0230060,floor orbit
C0567530,nipple problem
C4228998,delayed development mild
C0204636,procedure nursing
C0337169,band saw
C0162633,viral shedding
C4724964,public holiday
C0426340,circumcised foreskin
C0581874,late insomnia
C0293167,abp 6 25
C0025867,metric system
C5139645,anesthetics trigger episodes
C0630729,yeyps
C0425680,artery harden
C0677634,times thrombin
C0031117,peripheral neuropathy
C0442874,neuropathy
C0946285,physical activity knowledge
C0444084,scraping skin
C2585999,education about feeding neonate
C0306432,icy hot stick
C0580986,house services
C0426817,short rib
C0624179,kartox
C0581211,difficulty turning onto side bed
C1185875,segment cervix
C1444665,pestat
C0452740,sheep milk
C1883025,shielding failure
C1280355,entire cervical canal
C3858763,device asserted
C1285542,has focus
C0562563,clinging behavior
C0427004,cannot get
C0973228,shiatsu
C0728797,flexeril
C0747698,pneumonia treating
C0038056,sputum
C0228405,nates
C0982198,holding chamber w mask
C0395424,section cornea
C0426102,occiput left transverse position
C0304138,oil hops
C0749390,surgery throat
C2488356,upper bones release
C0563555,unable weight bear
C1699080,medical device replacement
C1268547,charting patient
C0563383,moves tongue
C0147758,uk 11 443
C0266006,bjs
C0412649,ct spine
C4304455,able respond stimuli
C0332768,subluxation
C4510867,pelvis syndrome
C1444644,pre starting action status
C0454517,positive pressure therapy
C1547666,location equipment
C0848771,neurological disability
C0679250,disease outcome
C5124058,pedesta
C0719438,colfed
C3669316,exercise duration exercise frequency
C0238826,breast mass roundness
C1548580,teaching location
C0025120,literature medicine
C4724437,sure test
C4517521,ten point five
C3899915,body weight reason not done
C3831759,able get around by myself
C0412618,ct heart
C1507012,pain radiation
C1303156,abnormally thin
C0560030,feet second
C0491744,hand held telescope
C5230976,absence downward movement eye
C3494465,rhythmic vocalizations
C3853256,pediatric standard formula
C0087171,birth wrongful
C0201683,chemical method
C0442625,sand pit
C1283259,epidural device
C1548620,every integer minutes
C4277726,environments extreme
C0449462,stent length
C0947509,difficulty concentrating
C0418411,grasped with arm
C3829514,maternal fever during labor
C1277425,born oman
C0598405,physical condensation
C0223651,iliac crests
C0266037,peg shaped teeth
C4274689,autopsy pending situation
C0812171,abuse protection support
C0039478,thermosensing
C1687989,wang thong virus
C4049995,induction phase
C0949649,development muscle
C0581560,safety finding
C1112766,forehead swelling
C3878246,medicine cup reusable
C0183697,pelvic support
C0013765,elastins
C0274201,burn vagina
C0244861,livocab
C0013526,skull ultrasound
C0018813,rupture heart
C3891158,record mood
C0524411,torturer
C1830395,reason hospitalization
C0232977,leaking seminal fluid
C0567156,uterine contractions problem
C1279740,alternating patient's position
C0302357,ver
C4510862,tic due following infection
C0577179,small bladder
C0929132,surface side neck
C0840564,ruptured bladder
C0042019,bladder catheterization
C0232840,bladder function
C0337951,hospitals institutions
C0424606,body form
C0476274,cough with hemorrhage
C0180307,cardioverter
C0019593,blockers h2
C2355540,me sag
C3266697,medication overuse
C1167782,hyperinflation lung
C0056266,convicine
C3858542,initial population
C0080537,11 14 15 thet
C0429989,stick only walking
C0205428,involvements
C0871808,management methods
C1875721,rectal local other
C1018064,water rail
C1287726,finding pulse
C0682196,economically deprived
C0240812,prostate pain
C3825120,pain animals
C4326662,y link assembly
C0489555,hospital discharge procedures
C0588036,baby premature 39 weeks
C0190267,incision aorta
C3178736,energy resources primary
C5139410,cervical neck
C0337142,welding equipment
C2712978,concern about behavior foster child
C0520558,brittle teeth
C2681227,hummr
C1881644,position problem
C1660761,incomplete paraplegia
C3742168,urota
C0449264,cuff inflated
C0489446,blood pressure method
C0006699,calcium gluconate
C0017714,gluconate
C0442767,1 36
C0948396,frequent headaches
C0432900,blister shoulder
C0584940,does not hold drinks
C1563151,ileostomy bag
C1272707,reason action
C0546837,esophagus cancer
C2984851,stress problem identified
C0042660,vie
C1710038,second line therapy
C0421147,speech therapy children
C2736841,ninety minutes after resting
C0726278,foot pedal
C1042415,campages
C0344097,boil lancing
C0453010,coley
C3810844,breast clinic
C0242002,mucous diarrhea
C1840077,nose upturned
C0009961,coombs
C3241999,limited use
C1280088,entire perineum
C0681147,night shelter
C4687511,salvage surgery
C0429489,photostress recovery time
C3640812,visit end time
C0597955,acid bacteria fast
C0240702,uncircumcised penis
C2721273,balance ball exerciser
C3179071,therapy with helminth
C3889429,crf completion guidelines
C1217898,acuan interior
C0405468,mastitis mumps
C3826017,medical instruments apparatus
C0337148,metal manhole cover
C0746789,neck cyst
C0323251,epicallia
C0841785,epidural infusion
C0557016,advice avoid activity
C0561007,human scratch
C0230170,soft tissue abdomen
C0200634,band counts
C2919819,early warning scoring system
C3178952,animal grazing
C0230636,foot process
C1261444,urine morphine
C0446464,scapular area
C0572239,misoprostol overdose
C1512329,hair part
C0203475,echography pelvic area
C0729341,painful blind eye
C3494715,additional medication therapy needed
C4316415,discontinued medication without order
C0243237,sodium docusate
C0562285,balancing when reaching
C0021680,accident insurance
C0241860,desert bumps
C1418059,or17 16
C0424830,dilated blood vessel
C0555974,fingers infection
C1899595,parastarte
C1414562,f cell production 1
C0236816,acute stress disorder
C0740985,anemia acute
C0402839,glass worker
C3839524,cancer related anemia
C0306693,luride drops
C0678434,windshield washing solution
C2673579,prolonged bleeding
C0313418,hb nancy
C3492506,merry go round protein drosophila
C0085607,increased blood volume
C0231848,air hunger
C1708091,foot switch
C0557063,discussion about treatment
C3640461,cows resting pulse rate
C0393639,autoimmune encephalitis
C2936329,disease pre symptomatic
C4053840,worry about getting new symptoms
C1513997,large cell
C1276035,fads
C1547727,source type
C0401884,excise officer
C0683935,programs research
C0427677,blood compatibility
C1142312,blood clotted urine
C1112211,infection liver
C3829271,filling liquid other
C0233590,alternately sitting standing
C0036986,shock traumatic
C4012347,motor symptoms are variable
C0474372,colour nails
C1562121,galbreath technique
C1171258,complication aspects
C3887296,within 30 days surgery
C3495441,strip motor
C4478288,round chubby face
C0010106,corrosions
C0034865,genetic recombination
C1443559,estimated blood loss
C0237888,professional specialization
C0404031,leep procedure cervix
C1269801,report operation
C1417939,oed
C0267672,bilateral inguinal hernia
C0010179,cost sharing insurance
C1512356,health behavior children
C0010468,curettage
C3825946,mothers mortality
C0600566,confined space
C3698133,failed spinal anesthesia situation
C0191984,uvulotomy
C1317169,caries risk
C0554855,vaginal swab taken situation
C2985415,neuroradiologist
C0518227,breathing ability
C0262431,compression fracture
C0239163,preoccupation with death
C0335719,net maker hand
C3653136,combinations different antibiotics
C3550852,long limbs
C0473960,induction general anesthesia
C0422325,repeat medication check
C0393387,traumatic complication injury
C4042908,seroconversion
C0577837,pulse rate stable
C3242620,active coverage
C0566386,able spit
C0003442,ats
C0018992,true bug
C0729697,great vein
C0424594,frailty
C4322183,lamina propria cervix
C0877419,bladder reflex
C0336798,pliers
C0025152,mefenamic acid
C0193210,anal cerclage
C0180316,kit labor delivery
C0060627,fom
C0030248,abdomen palpation
C0032994,pregnancy tubal
C4289518,ed2 keep track time schedules
C0427077,movement against gravity
C0021150,incidence studies
C0422543,examines own breasts
C0449335,detection methods
C2004487,vaginal spasm
C1303131,maintaining equipment
C0449644,site h
C0341972,sepsis during labour delivered
C4316290,demonstration modifier 3
C4744100,uhdr1 shop groceries without help
C0444346,freestanding water
C5203441,cause sick feeling
C1136037,surgical service hospital
C0341672,quarryer
C0584971,deserted by father
C4458539,neato
C0544472,simple compound
C1553397,request actreason
C0029095,opioid abuse
C3529247,candol
C0557305,inclusive education
C1869929,rollentoside
C1551988,excerpts
C0337113,chain fall
C0035722,rna transfer his
C0183880,tent oxygen
C0036036,sacroiliac joint
C0566405,does not latch breast feeding
C4085941,age at first hospitalization
C0032717,portal system
C1541277,distance healing
C0432601,stairs climbed
C5203494,deep sleep duration
C0037009,joint shoulder
C1010534,nodding heads
C3825707,runners sports
C0558258,difficulty remembering dates
C0237078,medical dental care
C0015753,fee dental
C1319181,family resiliency
C0337230,fall from chair
C2979711,everclean
C0520266,assistant surgeon
C1171206,nausea management
C4287589,stic
C0184936,suture removal
C3877610,heated shoe
C0441436,pellet
C1688554,83 01
C0719135,capital with codeine
C4302998,electrosurgical electrode extension
C0024591,malignant hyperthermia
C0581833,suspected malignancy
C0589035,standing tolerance
C1254881,function platelets
C1718245,provider orders
C3493946,ohmline
C0204175,dental fluoride treatment
C1883082,unmedicated sponge
C1548158,specimen lab; results pending
C4255098,forked tongue
C2825125,papoose root
C4245892,lip proper
C0185373,open reduction
C0182473,hip socket
C3899630,chosen course treatment
C1319734,pavlik harness
C0222269,skin thighs
C0013852,electron
C0597585,time resolved data
C1154662,response chemical
C1706207,bullet shape
C1285863,appearance lip
C3484960,next choice one dose
C1285584,appearance hand
C0023086,knive laser
C1707814,dose reduced
C0859235,discomfort leg
C1290929,bathing assisted
C4706271,obesity monitoring refused situation
C0335698,hand knitter
C4510805,sex chromosome aneuploidy
C0332547,normal translucency
C4517761,four point four
C3827589,vfq2 difficulty reading street signs
C0426393,urine looks normal
C1567609,pilder
C0401976,occupational physician
C0425507,night cough absent situation
C0267834,liver cyst
C1856745,ball like toes
C1866237,hypermobile joints
C1320239,food allergen
C1178984,rough microsome
C4273956,speech appropriate developmental age
C0413334,emotional abuse elderly person
C0521083,intoxicating pepper
C4477073,abnormality gnrh level
C4316437,discussed with prescriber
C0033178,privately sponsored program
C3640065,blf supplement
C0338502,optic nerve hypoplasia
C1861731,slight increased risk malignancy
C0557987,one one supervision
C3494459,score sofas
C0231511,flaccid
C0523207,hematoxylin eosin stain method
C2364308,actual disuse response
C1273723,brain region
C4289755,complete inversion
C3878899,earplugs reusable
C0871026,overcorrection
C2242849,incest history
C1265584,size finding
C0426872,change glove size
C0004339,listening action
C1299635,postpartum infection vulva
C2986893,death details
C2733461,rabies contact
C4476759,stooped posture
C0766022,ruben
C0191925,breast augmentation
C0033306,progestin
C4744959,fast track designation
C3826436,draping surgery
C0600290,readmissions hospital
C0274435,blood transfusion reactions
C1278569,was attribute
C0375553,continuous leakage
C2711906,evaluation finding finding
C4534892,magnesium sulfite
C4040465,education about breathing technique
C0444100,skin snips
C1710219,study director
C0558046,levels observation
C0231815,frog breathing
C1555033,has charge
C3806171,periods apnea
C4073058,red desaturation
C0013273,ductus arteriosus
C0721886,mylicon
C0241207,sound stimulation
C0586923,hospital physiotherapist
C0027561,negative reinforcement
C3879256,length assistive measuring aid
C0682228,addiction nurse
C1097299,hutch 1
C0554189,mine manager
C3659626,effusin
C0747828,pregnancy sinusitis
C0452908,stewed rabbit
C2350882,intra atrial electrogram
C0272386,enlarged tonsils
C4708861,collection drain fluid
C0376414,paxil
C1656379,actin bundling
C0193270,pushing back rectal prolapse
C1141920,shunt infection
C0150231,family process maintenance
C0869025,spelling ability
C0009496,bidding contract
C0040334,smoke pollution tobacco
C0566830,fetal breech palpable vaginally
C0458827,airway nos
C0399383,submerging tooth
C0242492,risk relative
C0567117,uterine contractions present
C2348993,shosp
C0587667,stroke service
C0325031,red panda
C1629857,x ray little finger
C0162477,toxins deactivated
C0525049,clonings human
C1706786,ambulatory surgical center
C0683487,successful programs
C0583482,under care community midwife
C0401843,computer trainee
C1960428,pressurised spray
C0527121,protect dental cement
C0224181,vocalis
C1446398,transfer out area
C3532772,aware diagnosis
C0432123,sagittal craniosynostosis
C4041246,pressure ulcer caused by device
C0920580,medical specialists
C0282493,endoscopic surgery
C0421326,full care by gp
C1708322,handrest
C0870742,interaction with another species
C0697185,water pepper
C1744601,heart rate abnormal
C1519760,conditions affecting unborn children
C0771967,black cohosh
C4025369,pointed hand bones
C0055248,chaetocin
C0877781,headache one side
C0683676,case law
C2242628,fecal transplant
C0427455,normal rbc count
C1514975,mouse stomach
C1303142,wearing pavlik harness
C1708527,intent diagnosis
C0424555,clammy sweat
C0272893,leg sprained
C4302504,chemotherapy started
C0042749,sepsis caused by virus
C1882542,random number seed
C0587288,blisters mouth
C0579076,delivered by low forceps delivery
C0232339,normal blood flow
C0679750,increasing awareness
C0455760,catheter procedure
C5139440,labial hemangioma
C0519097,left ventricular aneurysm
C1321166,pediatric cardiology
C1549697,discover card
C3240168,xenical pill
C0259921,health education secondary
C1424323,pidd
C3830098,drying fluid bed
C0454325,shoulder press
C2451782,change intermittent pressure device face
C2936181,visual feedback
C0929752,a1 pulley finger
C3840186,attachment based therapy
C0594373,methex
C0013778,cardioversion
C1320395,personal belief pattern
C0025237,mns
C4725263,dredging container
C0282063,galaxy
C0560675,packets feed
C1170232,duet
C4688620,mood feelings questionnaire
C3640765,capful
C4046033,machine learning with teacher
C0020412,hymens
C0195718,pinard maneuver
C0522730,water ski
C4233713,activation ras interactor activity
C2713357,antimicrobial susceptibility breakpoint determination
C0325987,red yellow macaw
C1708039,feature reporter map
C0271381,skew deviation
C3639614,npi1 too cheerful or happy
C4231736,dna incision involved aer
C3881639,ostomy bag pocket
C0390803,cul 1
C1881684,power up failure
C0242872,hemlock
C0681466,training manual
C0931513,right helix
C0446303,potato with peel
C0997159,job tears
C1273981,asthma medication review
C0331968,ross
C1517805,leukemia antiquated
C0324692,wombat
C0448945,nail bed finger
C0011444,dentition transitional
C0061789,goitrin
C1513010,master's degree
C0422257,seen warden supervised house
C0325249,gaur
C0401530,bladder washout
C2348558,study start date
C1842878,short little finger
C1425248,teap
C0009960,cooking utensil
C4743695,technical lead
C1170246,ed spaz
C0402937,metal worker
C1416866,lipb
C1853487,bushy eyebrows
C4274582,able tolerate pain body part
C0035621,rights
C1069093,kraftia
C0325768,little bustard
C3811709,hif family
C1553710,sibling law
C0868445,injured or killed fight nos
C0277588,types death
C2335890,blood artery
C4302234,infant dyschezia
C0240340,small teeth
C0425451,cannot blow finding
C0230812,lysosome membrane
C1875540,nitrogen oxygen
C0521654,neurological impairment
C0575166,wasting neck
C0542174,le like rash
C0027429,blockage nose
C0029150,character oral
C0022281,eye itch
C0275491,bowie
C2203937,eating syndrome night
C1433479,z11 16 cpd
C0327276,timor monitor
C3658224,nursing remote rural
C0007117,basal cell carcinoma
C0333865,atypical cell present
C0679684,health care general
C0011450,cushion liner
C0311187,enteral formula
C1538468,mtck ubiquitous
C2717910,drugs behind counter
C0679009,state consciousness
C0022999,landscaping hospital
C0344106,sedation procedure
C3891656,carea
C0152964,strep bacteremia
C0872054,latent infection
C0574747,pain movement skin
C0201973,ck measurement
C1706461,reader device
C2348716,frog leg
